Date : 2023-10-11 00:02:12
Directory : c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass
Total : 106 files,  5345 codes, 342 comments, 569 blanks, all 6256 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| lib\screens\cart (Files)                                                                                              |          1 |        125 |          1 |          5 |        131 |
| lib\screens\cart\component                                                                                            |          1 |         94 |          0 |          6 |        100 |
| lib\screens\category                                                                                                  |          1 |         76 |          7 |         10 |         93 |
| lib\screens\category\views                                                                                            |          1 |         76 |          7 |         10 |         93 |
| lib\screens\chat                                                                                                      |          4 |        237 |          2 |         13 |        252 |
| lib\screens\chat (Files)                                                                                              |          2 |        166 |          2 |          5 |        173 |
| lib\screens\chat\controller                                                                                           |          2 |         71 |          0 |          8 |         79 |
| lib\screens\contact                                                                                                   |          1 |        182 |          2 |          9 |        193 |
| lib\screens\contact\views                                                                                             |          1 |        182 |          2 |          9 |        193 |
| lib\screens\content                                                                                                   |          2 |        251 |          5 |         10 |        266 |
| lib\screens\content (Files)                                                                                           |          1 |        194 |          5 |          5 |        204 |
| lib\screens\content\controllers                                                                                       |          1 |         57 |          0 |          5 |         62 |
| lib\screens\home                                                                                                      |          7 |        529 |         15 |         34 |        578 |
| lib\screens\home (Files)                                                                                              |          1 |         25 |          1 |          4 |         30 |
| lib\screens\home\components                                                                                           |          6 |        504 |         14 |         30 |        548 |
| lib\screens\home\components (Files)                                                                                   |          3 |        434 |         14 |         15 |        463 |
| lib\screens\home\components\controllers.dart                                                                          |          3 |         70 |          0 |         15 |         85 |
| lib\screens\intro                                                                                                     |          4 |        390 |          0 |         19 |        409 |
| lib\screens\intro (Files)                                                                                             |          1 |         93 |          0 |          5 |         98 |
| lib\screens\intro\controllers                                                                                         |          1 |         41 |          0 |          4 |         45 |
| lib\screens\intro\widgets                                                                                             |          2 |        256 |          0 |         10 |        266 |
| lib\screens\login                                                                                                     |          6 |        256 |          0 |         31 |        287 |
| lib\screens\login (Files)                                                                                             |          1 |         26 |          0 |          6 |         32 |
| lib\screens\login\components                                                                                          |          5 |        230 |          0 |         25 |        255 |
| lib\screens\login\components (Files)                                                                                  |          4 |        190 |          0 |         22 |        212 |
| lib\screens\login\components\components                                                                               |          1 |         40 |          0 |          3 |         43 |
| lib\screens\login\components\components\controllers                                                                   |          1 |         40 |          0 |          3 |         43 |
| lib\screens\mainPageView                                                                                              |          2 |         75 |          1 |          8 |         84 |
| lib\screens\mainPageView (Files)                                                                                      |          1 |         52 |          1 |          4 |         57 |
| lib\screens\mainPageView\components                                                                                   |          1 |         23 |          0 |          4 |         27 |
| lib\screens\mainPageView\components\controllers                                                                       |          1 |         23 |          0 |          4 |         27 |
| lib\screens\product                                                                                                   |          4 |        382 |          3 |         19 |        404 |
| lib\screens\product (Files)                                                                                           |          2 |        290 |          3 |         10 |        303 |
| lib\screens\product\controllers                                                                                       |          2 |         92 |          0 |          9 |        101 |
| lib\screens\profile                                                                                                   |          3 |        258 |         13 |         20 |        291 |
| lib\screens\profile (Files)                                                                                           |          2 |        171 |          9 |          9 |        189 |
| lib\screens\profile\components                                                                                        |          1 |         87 |          4 |         11 |        102 |
| lib\screens\profile\components\controllers                                                                            |          1 |         87 |          4 |         11 |        102 |
| lib\screens\register                                                                                                  |          6 |        299 |          4 |         27 |        330 |
| lib\screens\register (Files)                                                                                          |          1 |         30 |          0 |          6 |         36 |
| lib\screens\register\components                                                                                       |          5 |        269 |          4 |         21 |        294 |
| lib\screens\register\components (Files)                                                                               |          4 |        216 |          1 |         17 |        234 |
| lib\screens\register\components\controllers                                                                           |          1 |         53 |          3 |          4 |         60 |
| lib\screens\splash                                                                                                    |          2 |         67 |          1 |          8 |         76 |
| lib\screens\splash (Files)                                                                                            |          1 |         25 |          1 |          3 |         29 |
| lib\screens\splash\components                                                                                         |          1 |         42 |          0 |          5 |         47 |
| lib\screens\splash\components\controllers                                                                             |          1 |         42 |          0 |          5 |         47 |
| linux                                                                                                                 |          5 |        102 |         27 |         38 |        167 |
| linux (Files)                                                                                                         |          3 |         86 |         18 |         27 |        131 |
| linux\flutter                                                                                                         |          2 |         16 |          9 |         11 |         36 |
| macos                                                                                                                 |          6 |        454 |          5 |         16 |        475 |
| macos\Flutter                                                                                                         |          1 |         16 |          3 |          4 |         23 |
| macos\Runner                                                                                                          |          4 |        431 |          0 |          8 |        439 |
| macos\Runner (Files)                                                                                                  |          2 |         20 |          0 |          6 |         26 |
| macos\RunnerTests                                                                                                     |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                                                          |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                                       |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                                               |          1 |        343 |          0 |          1 |        344 |
| test                                                                                                                  |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                                   |          2 |         73 |         16 |          7 |         96 |
| windows                                                                                                               |         10 |        448 |         94 |        143 |        685 |
| windows\flutter                                                                                                       |          2 |         20 |          9 |         11 |         40 |
| windows\runner                                                                                                        |          8 |        428 |         85 |        132 |        645 |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                              | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\README.md                                                                 | Markdown   |         17 |          0 |          6 |         23 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\analysis_options.yaml                                                     | YAML       |          2 |         22 |          5 |         29 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\android\app\build.gradle                                                  | Groovy     |         51 |          5 |         12 |         68 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\android\app\src\debug\AndroidManifest.xml                                 | XML        |          3 |          4 |          1 |          8 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\android\app\src\main\AndroidManifest.xml                                  | XML        |         30 |          6 |          1 |         37 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\android\app\src\main\res\drawable-v21\launch_background.xml               | XML        |          4 |          7 |          2 |         13 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\android\app\src\main\res\drawable\launch_background.xml                   | XML        |          4 |          7 |          2 |         13 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\android\app\src\main\res\values-night\styles.xml                          | XML        |          9 |          9 |          1 |         19 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\android\app\src\main\res\values\styles.xml                                | XML        |          9 |          9 |          1 |         19 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\android\app\src\profile\AndroidManifest.xml                               | XML        |          3 |          4 |          1 |          8 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\android\build.gradle                                                      | Groovy     |         27 |          0 |          5 |         32 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\android\gradle.properties                                                 | Properties |          3 |          0 |          1 |          4 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\android\gradle\wrapper\gradle-wrapper.properties                          | Properties |          5 |          0 |          1 |          6 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\android\settings.gradle                                                   | Groovy     |         16 |          0 |          5 |         21 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\assets\images\done.json                                                   | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\assets\images\splash.json                                                 | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\ios\RunnerTests\RunnerTests.swift                                         | Swift      |          7 |          2 |          4 |         13 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\ios\Runner\AppDelegate.swift                                              | Swift      |         12 |          0 |          2 |         14 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json               | JSON       |        122 |          0 |          1 |        123 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json             | JSON       |         23 |          0 |          1 |         24 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md                 | Markdown   |          3 |          0 |          2 |          5 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\ios\Runner\Base.lproj\LaunchScreen.storyboard                             | XML        |         36 |          1 |          1 |         38 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\ios\Runner\Base.lproj\Main.storyboard                                     | XML        |         25 |          1 |          1 |         27 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\ios\Runner\Runner-Bridging-Header.h                                       | C++        |          1 |          0 |          1 |          2 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\constants\const.dart                                                  | Dart       |         13 |          0 |          0 |         13 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\constants\constants.dart                                              | Dart       |          9 |          2 |          5 |         16 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\data\data.dart                                                        | Dart       |         36 |          1 |          6 |         43 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\main.dart                                                             | Dart       |         26 |          2 |          8 |         36 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\models\course.dart                                                    | Dart       |          7 |          0 |          1 |          8 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\models\style.dart                                                     | Dart       |          6 |          0 |          1 |          7 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\bmi\MaterialCard.dart                                         | Dart       |         24 |          0 |          4 |         28 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\bmi\ReusableColumn.dart                                       | Dart       |         30 |          0 |          5 |         35 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\bmi\calculator_brain.dart                                     | Dart       |         29 |          0 |          7 |         36 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\bmi\cons.dart                                                 | Dart       |         38 |          0 |          9 |         47 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\bmi\input_page.dart                                           | Dart       |        275 |          2 |          9 |        286 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\bmi\resultspage.dart                                          | Dart       |         66 |          0 |          8 |         74 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\cart\cart.dart                                                | Dart       |        125 |          1 |          5 |        131 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\cart\component\cart_controller.dart                           | Dart       |         94 |          0 |          6 |        100 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\category\views\category.dart                                  | Dart       |         76 |          7 |         10 |         93 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\chat\answers.dart                                             | Dart       |         34 |          1 |          2 |         37 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\chat\chat_page.dart                                           | Dart       |        132 |          1 |          3 |        136 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\chat\controller\answers_controller.dart                       | Dart       |         31 |          0 |          5 |         36 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\chat\controller\chat_controller.dart                          | Dart       |         40 |          0 |          3 |         43 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\contact\views\contactus.dart                                  | Dart       |        182 |          2 |          9 |        193 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\content\conentpage.dart                                       | Dart       |        194 |          5 |          5 |        204 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\content\controllers\content_controller.dart                   | Dart       |         57 |          0 |          5 |         62 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\home\components\controllers.dart\appbar_controller.dart       | Dart       |         19 |          0 |          3 |         22 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\home\components\controllers.dart\biggner_controller.dart      | Dart       |         25 |          0 |          5 |         30 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\home\components\controllers.dart\courses_controller.dart      | Dart       |         26 |          0 |          7 |         33 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\home\components\courses.dart                                  | Dart       |        181 |          1 |          4 |        186 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\home\components\custom_app_bar.dart                           | Dart       |         84 |         12 |          5 |        101 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\home\components\diff_styles.dart                              | Dart       |        169 |          1 |          6 |        176 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\home\home_screen.dart                                         | Dart       |         25 |          1 |          4 |         30 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\intro\controllers\intro_controller.dart                       | Dart       |         41 |          0 |          4 |         45 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\intro\intro_slider.dart                                       | Dart       |         93 |          0 |          5 |         98 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\intro\widgets\intro_three.dart                                | Dart       |        124 |          0 |          4 |        128 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\intro\widgets\page_view_intro.dart                            | Dart       |        132 |          0 |          6 |        138 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\login\components\background_image_clipper.dart                | Dart       |         27 |          0 |          6 |         33 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\login\components\circle_button.dart                           | Dart       |         21 |          0 |          4 |         25 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\login\components\components\controllers\login_controller.dart | Dart       |         40 |          0 |          3 |         43 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\login\components\curve_clipper.dart                           | Dart       |         24 |          0 |          6 |         30 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\login\components\login_credentials.dart                       | Dart       |        118 |          0 |          6 |        124 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\login\login_screen.dart                                       | Dart       |         26 |          0 |          6 |         32 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\mainPageView\components\controllers\pageview_controller.dart  | Dart       |         23 |          0 |          4 |         27 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\mainPageView\mainPageview.dart                                | Dart       |         52 |          1 |          4 |         57 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\product\controllers\detail_controller.dart                    | Dart       |         39 |          0 |          2 |         41 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\product\controllers\shop_controller.dart                      | Dart       |         53 |          0 |          7 |         60 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\product\product_detail.dart                                   | Dart       |        146 |          2 |          4 |        152 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\product\product_home.dart                                     | Dart       |        144 |          1 |          6 |        151 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\profile\components\controllers\profile_controller.dart        | Dart       |         87 |          4 |         11 |        102 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\profile\profile_page.dart                                     | Dart       |        124 |          9 |          5 |        138 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\profile\profile_widget.dart                                   | Dart       |         47 |          0 |          4 |         51 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\register\components\background_img.dart                       | Dart       |         27 |          0 |          3 |         30 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\register\components\circle_button.dart                        | Dart       |         21 |          0 |          4 |         25 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\register\components\controllers\signup_controller.dart        | Dart       |         53 |          3 |          4 |         60 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\register\components\curve_clipper.dart                        | Dart       |         24 |          0 |          6 |         30 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\register\components\signup_credentials.dart                   | Dart       |        144 |          1 |          4 |        149 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\register\signup_page.dart                                     | Dart       |         30 |          0 |          6 |         36 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\splash\components\controllers\splash_controller.dart          | Dart       |         42 |          0 |          5 |         47 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\screens\splash\splashscreen.dart                                      | Dart       |         25 |          1 |          3 |         29 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\lib\theme.dart                                                            | Dart       |         16 |          1 |          3 |         20 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\linux\flutter\generated_plugin_registrant.cc                              | C++        |         11 |          4 |          5 |         20 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\linux\flutter\generated_plugin_registrant.h                               | C++        |          5 |          5 |          6 |         16 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\linux\main.cc                                                             | C++        |          5 |          0 |          2 |          7 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\linux\my_application.cc                                                   | C++        |         74 |         11 |         20 |        105 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\linux\my_application.h                                                    | C++        |          7 |          7 |          5 |         19 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\macos\Flutter\GeneratedPluginRegistrant.swift                             | Swift      |         16 |          3 |          4 |         23 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\macos\RunnerTests\RunnerTests.swift                                       | Swift      |          7 |          2 |          4 |         13 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\macos\Runner\AppDelegate.swift                                            | Swift      |          8 |          0 |          2 |         10 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json             | JSON       |         68 |          0 |          1 |         69 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\macos\Runner\Base.lproj\MainMenu.xib                                      | XML        |        343 |          0 |          1 |        344 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\macos\Runner\MainFlutterWindow.swift                                      | Swift      |         12 |          0 |          4 |         16 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\pubspec.yaml                                                              | YAML       |         44 |         51 |         16 |        111 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\test\widget_test.dart                                                     | Dart       |         14 |         10 |          7 |         31 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\web\index.html                                                            | HTML       |         38 |         16 |          6 |         60 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\web\manifest.json                                                         | JSON       |         35 |          0 |          1 |         36 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\windows\flutter\generated_plugin_registrant.cc                            | C++        |         15 |          4 |          5 |         24 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\windows\flutter\generated_plugin_registrant.h                             | C++        |          5 |          5 |          6 |         16 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\windows\runner\flutter_window.cpp                                         | C++        |         49 |          7 |         16 |         72 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\windows\runner\flutter_window.h                                           | C++        |         20 |          5 |          9 |         34 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\windows\runner\main.cpp                                                   | C++        |         30 |          4 |         10 |         44 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\windows\runner\resource.h                                                 | C++        |          9 |          6 |          2 |         17 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\windows\runner\utils.cpp                                                  | C++        |         54 |          2 |         10 |         66 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\windows\runner\utils.h                                                    | C++        |          8 |          6 |          6 |         20 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\windows\runner\win32_window.cpp                                           | C++        |        210 |         24 |         55 |        289 |
| c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass\windows\runner\win32_window.h                                             | C++        |         48 |         31 |         24 |        103 |
| Total                                                                                                                 |            |      5,345 |        342 |        569 |      6,256 |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
